prompt,completion
"对，而且我还拒绝了。因为用不上他家储蓄卡

###

"," Negative
"
"拿到了，单子上都没写额度，打电话问客服，说要去面签后才知道，以前不是的

###

"," Neutral
"
"建行的优势绝对不在信用卡上

###

"," Positive
"
"我的也还在审核中，太糟心了

###

"," Negative
"
"大佬，看字，申请未通过。伤心

###

"," Negative
"
"这点额度也算高？？？菜卡

###

"," Negative
"
"第一次申请民生银行信用卡，还是选一个金卡，稳妥点

###

"," Positive
"
"你想giao哪一个，工商银行的信用卡都不错

###

"," Positive
"
"这个是标准白金卡，可以刷vip号，外币结算自动结汇为人民币入账，非美元的外币消费免转换费（1.5%），免年费卡里的战斗机

###

"," Positive
"
"广发分期套路太多了

###

"," Negative
"
"准备申请军魂卡，或者奋斗卡

###

"," Neutral
"
"我首卡都是6万??融E借额度11万??我想调平信用卡额度??去申请二卡故宫白金??额度才30000??搞笑呢

###

"," Negative
"
"新户礼都是虚的，你不可能只刷一次卡吧？

###

"," Negative
"
"我都用起来了。卡板他慢慢制吧。我不着急

###

"," Neutral
"
"恭喜下卡，额度巅峰

###

"," Positive
"
"试试，如果在降低就没办法了，恶性循环

###

"," Negative
"
"今天招行被盗刷，处理迅速，直接免赔

###

"," Positive
"
"交通30k

###

"," Neutral
"
"头一次见跟机器人说话的，工行大厅就放了一个机器人

###

"," Neutral
"
"你找客服有说要投诉到银监会去吗？招行的客服硬气

###

"," Neutral
"
"你转个一块钱试试，一块钱都转不出，那就是拉黑了。

###

"," Negative
"
"消费分期吧，我今天分了36

###

"," Neutral
"
"48期应该可以了，我的招商本金6万逾期2期了还没有协商成功

###

"," Negative
"
"刚申请个兴业信用卡，填完资料3分钟就通过了，估计额度很低

###

"," Positive
"
"史上最无耻最闪烁的银行不安全。之前用他家的卡他

###

"," Negative
"
"我到现在也没提过卡。额度很难提的

###

"," Neutral
"
"我能等半年，看看会不会自动解封吗？？？

###

"," Neutral
"
"你就是刷34800米粉店，银行都不会过问，看你自己的资源，频繁度

###

"," Neutral
"
"建行生活也不错

###

"," Positive
"
"还好我8大银行都办齐了！！赞赞

###

"," Positive
"
"等你消息，我的交通银行沃尔玛卡已经批啦

###

"," Positive
"
"新规定下反复购买赎回没有益处了

###

"," Neutral
"
"你们的兴业有没有乱扣款的现象？

###

"," Neutral
"
"邮政有水，恒丰有水，广发有水，冲！

###

"," Positive
"
"查了显示有积分mcc正常。又没在天书

###

"," Neutral
"
"我半年内就一个查询，今天本来想申请的，还是没敢申，怕过不了，好难

###

"," Negative
"
"还有超过36的吗?额度都这么低么

###

"," Negative
"
"需要PS直说，要啥时间就啥时间，技术还是不错的

###

"," Positive
"
"恭喜，我现在是小黑，无临额但有分期，今年二月份下的卡，额度跟你一样，借老哥运气能到时候额度也跟我一样啊

###

"," Positive
"
"你好，逾期这么久没有起诉吗？我也是招商逾期，本金加信用卡二十几万

###

"," Negative
"
"我有张上海交大的，额度还挺高

###

"," Positive
"
"工行没什么权益和羊毛，只有境外返现好像……下卡5W，四年没提过

###

"," Negative
"
"就像中行0001，原来是年消费2万免年费，现在APP显示消费满12笔就免。????你要是打中行客服，他们有可能告诉你0001消费2万免年费。...

###

"," Neutral
"
"我办的也是招行的信用卡，我个人觉得最大的优点就是给我省钱。我平时拿积分去换换咖啡啊和男朋友去看看电影啊，感觉挺不错的

###

"," Positive
"
"老哥不容易，加油。等你中化的社保满了半年就可以考虑用新资料申请了

###

"," Positive
"
"你是指民生不会提，还是所有的他行都不会提

###

"," Negative
"
"突然感觉招商看不起我

###

"," Negative
"
"酣畅淋漓一气呵成呀！恭喜，申卡都这样才好，要么拒，要么秒批下卡。

###

"," Positive
"
