id,text,BIO_anno,class
252,果然限制只对于我们这些凡人你这种102k授信的大佬好像可以为所欲为,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2
5171,民生标准白金卡就是提额难的老大难卡种，好多人都反应标准白金卡不提额，我的标准白金卡用16个月了不首提，已经申请二卡女人花白金卡，二卡到了就注销标准白。...,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2
2273,3个月，基本都可以提额了,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
2341,争取早日毕业，早日拿到招行的卡,O O O O O O O O O O O B-BANK I-BANK O B-PRODUCT,2
2058,都是垃圾银行，农行??民生留下，其他全销,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK O O B-BANK I-BANK O O O O O O O,0
832,中信新快线要扣为梦幻钱。每提前一次，就扣除未结清的金额。,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O,2
6093,主要还是看个人资质，建行比较忌讳卡片多,O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT O O,0
3587,可能拒了，下个融E联看看，我跟你一样??融E联有拒的短信,O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
4947,每次都是整数基本都是一个商户！^_^哈,O O O O O O O O O O O O O O O O O O O,2
7211,看论坛好多人说用了备用金会降额度有点忐忑,O O O O O O O O O O O O O B-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O,2
1972,怕领卡刁难。我上回打印了一份工作证明，愣是不敢进,O O B-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O,0
2728,哦对了，卡片管家里看下有没有出尾号，不要泄露,O O O O B-PRODUCT O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
7449,，说现在情况特殊，没有办法全额还贷！我已经提供了疾病证明,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O,2
4050,只有取现取出来后，再怎么存就管不到了,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O,2
5456,我的惠民贷点进去显示的是最高20万，没看见预审批额度,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N,2
2651,支付宝线下扫码付款太不稳定了，今天又扫不成了,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O,0
6856,我也是秒批，结果菜卡，想注销了,O O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O,0
424,有这种事吗？保养？我也这么认为，信用卡也是需要保养的啊,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O,2
3984,耐撸就中信，但是中信积分不值钱,O O O B-BANK I-BANK O O O B-BANK I-BANK B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
1895,遇事不决销中信,O O O O O B-BANK I-BANK,2
7078,同款短信??想问额度怎么看,O O O O O O O O O O O O O,2
4908,额度多少哈？想申请高点的，不是说5W起下么？,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,2
1792,楼主刚才回复l了你的帖子后就得电话申请提额了固定不给给了5w临时现在额度合计20了临时用它还是不用它好啊,O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_ADJ O,2
2334,就怕这种突然不见，再莫名其妙被小招拖入大黑屋…,O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O,2
2219,我是分期了??就提示汇总了,O O O O O O O O O O O O O,2
4973,是额度问题，可以办高额度的卡,O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O B-PRODUCT,2
