id,text,BIO_anno,class
7198,没见过这个银行,O O O O O O O,2
2773,不是限额，以前天天转的，就现在不能转账了。我要不要去提款机看看能不能提款？,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2
7197,在app可以查看到进度不,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O,2
1757,13年都没提，还不就这样了，注销了吧,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
1980,你是跟银行协商无果以后投诉的还是直接投诉的？该咋说呀？,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,0
5597,大佬，看字，申请未通过。伤心,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
5766,你欠不欠？我欠11万。打电话给我，告诉我过两天给我，现在催款总是喜欢恐吓,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ,0
1227,有机会，我也去申请一个浦发的信用卡用用吧,O O O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O,2
1209,对啊，征信也查了，而且我确实是正在装修啊！不知道哪个环节出问题了,O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
3803,去网点开个储蓄卡就可以了,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2
5066,我拿了两盒，都收到卖了。卡都不在我手上，我心大不,O O O O O O O O O O O O B-PRODUCT O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
4548,还进去肯定借不出来了，就算出来，下个月呢？感觉没戏了，意义不大,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
4903,您好，楼主业务员上门询问准备什么。我好怕,O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ,2
7184,系统有标识你什么时候能分期提额用卡六个月估计你不分期也有分期提额了,O O O O O O O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O,2
5234,不介意，反正我的建行就这个样子,O O O O O O O O B-BANK I-BANK O O O O O,2
1723,平安所有卡都是的，不过要网付才有积分,B-BANK I-BANK O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT,2
722,我交通，广发首卡自己手机激活哦没去银行。,O B-BANK I-BANK O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2
158,有点高了比取现分期还多点,O O B-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
4895,目标额度30W,O O B-COMMENTS_N I-COMMENTS_N O O O,2
482,别千真万确，人家只说大部分情况。一般来说，?一切都已经,O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O,2
779,车卡专项积分怎么撸呢,O O O O B-PRODUCT I-PRODUCT O O O O,2
275,关键这个月查询多，大数据都花了，以前下款的时候没有这些网贷,O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT,2
3331,如果有推荐名额，就有邀请，不管是重复还是单身，已经有双保险了。你就不用担心了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
4161,能问下无界凉山具体是咋回事吗？偷渡国贸香白工作单位住宅地址都填的北京，激活也是在北京超柜，会有封卡风险没？,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,2
7275,这类产品中的钱，一般都是借给个人、企业，或是用来买国债、玩银行票据去了。,O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT O O O,2
4489,坚决抵制。现在中行催款，我只拿到一万的额度。,O O O O O O O B-BANK I-BANK O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
5834,我逾期4个月老哥你逾期多久上门闭门不见应该没事吧怕去老家那个地方就丢脸了妈的,O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O,0
6072,广发卡现在积分就是个垃圾，可能白金卡好点，普通卡根本换不了啥,B-BANK I-BANK B-PRODUCT O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,0
6747,20块的权益明天就可以取消，??证券账户，需要本人视频认证的，应该没有开通吧。,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O,2
7032,说出你的故事，再谈降额,O O O O O O O O O B-COMMENTS_ADJ O,2
6859,我必须打印信用报告吗？！,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O,2
